공연ID,공연명,공연시작일,공연종료일,공연장르,공연지역
PF233875,버블매직쇼 [군산],2024.01.27,2024.01.27,서커스/마술,전라북도
PF233869,김민정 피아노 독주회,2024.01.26,2024.01.26,서양음악(클래식),서울특별시
PF233865,"제104회 광명심포니오케스트라 정기연주회, 신년음악회: 나의 조국",2024.01.26,2024.01.26,서양음악(클래식),경기도
PF233862,제7회 고양울림청소년오케스트라 정기연주회,2024.01.28,2024.01.28,서양음악(클래식),경기도
PF233861,너츠 [대학로],2024.01.19,2024.02.04,연극,서울특별시
PF233860,"강원특별자치도립국악관현악단, 신년음악회",2024.01.30,2024.01.30,한국음악(국악),강원도
PF233852,플로비아노 창단연주회,2024.01.16,2024.01.16,서양음악(클래식),서울특별시
PF233851,최호경 피아노 독주회,2024.01.28,2024.01.28,서양음악(클래식),서울특별시
PF233847,"제3회 SC브라이트 협연 기획 시리즈, Wish You All The Best with SC Bright Orchestra",2024.01.18,2024.01.18,서양음악(클래식),서울특별시
PF233845,"이지형의 신년콘서트, 신년의 밤",2024.01.27,2024.01.27,대중음악,서울특별시
PF233837,수상한스테이지 (1.19),2024.01.19,2024.01.19,대중음악,서울특별시
PF233834,미래세대와 함께하는 환경음악회: 왈츠,2024.01.27,2024.01.27,서양음악(클래식),서울특별시
PF233823,"신년음악회, 새해 희망의 선물 [순천]",2024.01.27,2024.01.27,서양음악(클래식),전라남도
PF233821,마당극을 품은 오페라2 [충주(앵콜)],2024.01.27,2024.01.27,서양음악(클래식),충청북도
PF233816,러브라인,2024.01.27,2024.01.28,연극,서울특별시
PF233812,디즈니 100주년 섀도우 콘서트,2024.01.12,2024.12.29,서양음악(클래식),제주특별자치도
PF233811,"비브라포니스트 윤현상 콘서트, 時: 시간",2024.01.27,2024.01.27,서양음악(클래식),충청남도
PF233807,"제312회 부천필하모닉오케스트라 정기연주회: 신년음악회, 신세계로부터",2024.01.19,2024.01.19,서양음악(클래식),경기도
PF233806,월간 실내악 이화 아카데미 앙상블 2차 (1월),2024.01.28,2024.01.28,서양음악(클래식),서울특별시
PF233803,바리톤 최윤성 독창회,2024.01.26,2024.01.26,서양음악(클래식),서울특별시
PF233796,그대와 영원히 [울산],2024.01.30,2024.02.08,뮤지컬,울산광역시
PF233787,LIVECONNECT STAGE with 루이드(Llwyd): Over The Winter,2024.01.27,2024.01.27,대중음악,서울특별시
PF233784,꽃감이 콘서트: Twenty,2024.01.27,2024.01.27,대중음악,서울특별시
